805, BELLE PLAINE
568, BELLE PLAINE 9TH
734, BENTON COMMUNITY
345, BGM
439, Baxter High School
337, CLEAR CREEK AMANA
719, CLEAR CREEK-AMANA 9TH
759, COLFAX-MINGO
717, COLFAX-MINGO 9TH
987, EAST MARSHALL
287, GMG
467, GMG 9TH
532, GRINNELL
355, GRINNELL 9TH
147, HLV
131, IOWA VALLEY
918, IOWA VALLEY 9TH
891, MARSHALLTOWN
106, MARSHALLTOWN 9TH
942, MESKWAKI SETTLEMENT
575, MONTEZUMA
513, MONTEZUMA 9TH
515, NEWTON
436, NORTH MAHASKA
699, NORTH TAMA
540, PCM
591, PELLA 9th
735, PELLA CHRISTIAN
671, PELLA COMMUNITY
202, PLEASANTVILLE
118, SOUTH TAMA
771, VINTON-SHELLSBURG
294, WILLIAMSBURG
924, WILLIAMSBURG 9TH
