245, BELLE PLAINE
179, BELLE PLAINE 9TH
516, BENTON COMMUNITY
321, BGM
237, Baxter High School
224, CLEAR CREEK AMANA
858, CLEAR CREEK-AMANA 9TH
850, COLFAX-MINGO
660, COLFAX-MINGO 9TH
241, EAST MARSHALL
231, GMG
251, GMG 9TH
484, GRINNELL
185, GRINNELL 9TH
317, HLV
794, IOWA VALLEY
243, IOWA VALLEY 9TH
133, MARSHALLTOWN
790, MARSHALLTOWN 9TH
950, MESKWAKI SETTLEMENT
451, MONTEZUMA
667, MONTEZUMA 9TH
771, NEWTON
751, NORTH MAHASKA
765, NORTH TAMA
557, PCM
413, PELLA 9th
564, PELLA CHRISTIAN
113, PELLA COMMUNITY
807, PLEASANTVILLE
427, SOUTH TAMA
624, VINTON-SHELLSBURG
286, WILLIAMSBURG
486, WILLIAMSBURG 9TH
