Room                         Start  End   Cat  # EntryTitle
Rockhill Center D (Draw acr   8:09   8:14  RN  3 
F117 Ripperda Center C        8:20   8:28  PA  1 HeForShe
Sorensen Center O             8:20   8:28  OO  1 Skin Deep
TeGrootenhuis Center J        9:58  10:04  PO  2 What I Learned in Life
Wiltgen Center G             10:07  10:13  PO  3 You Are Beautiful
Martinson Center H           10:16  10:22  PR  1 Dear Dad
J105 Metzger Center B        11:00  11:06  EA  1 Hunger Across America:  What We Need to do About It
Wiltgen Center G             11:00  11:06  PO  1 Packing for a Holiday Vacation
TeGrootenhuis Center J       11:18  11:24  PR  3 What She Doesn't Know
J. Meyer Center I            11:30  11:38  LP  1 Over Time
Rockhill Center D (Draw acr  12:09  12:14  RN  2 
Sorensen Center O             1:15   1:23  OO  2 One in Six
TeGrootenhuis Center J        2:04   2:10  PR  2 I'll Be Looking For You, Ace
Rockhill Center D (Draw acr   2:26   2:31  RN  1 
Sorensen Center O             2:45   2:53  OO  3 As We Know It
