497, BELLE PLAINE
434, BELLE PLAINE 9TH
371, BENTON COMMUNITY
338, BGM
929, Baxter High School
789, CLEAR CREEK AMANA
399, CLEAR CREEK-AMANA 9TH
742, COLFAX-MINGO
873, COLFAX-MINGO 9TH
424, EAST MARSHALL
649, GMG
161, GMG 9TH
534, GRINNELL
651, GRINNELL 9TH
907, HLV
731, IOWA VALLEY
122, IOWA VALLEY 9TH
954, MARSHALLTOWN
829, MARSHALLTOWN 9TH
514, MESKWAKI SETTLEMENT
538, MONTEZUMA
971, MONTEZUMA 9TH
138, NEWTON
307, NORTH MAHASKA
850, NORTH TAMA
385, PCM
169, PELLA 9th
182, PELLA CHRISTIAN
991, PELLA COMMUNITY
604, PLEASANTVILLE
150, SOUTH TAMA
466, VINTON-SHELLSBURG
642, WILLIAMSBURG
893, WILLIAMSBURG 9TH
